sourceId,orgName,location,type,email,phone,facebook,website,notes,enrichedAt,contactFound
5a17648e70e7,Seattle Bike Swap & E-Bike Demo,"Seattle, WA",bike,info@cascade.org,(206) 522-3222,https://www.facebook.com/CascadeBicycleClub/,https://cascade.org,Cascade Bicycle Club is the nation's largest statewide bicycle nonprofit serving riders throughout Washington.,2026-06-23T22:48:21.721Z,true
56608fcde72d,APU Gear Swap,"Anchorage, AK",gear,pjdhiggins@alaskapacific.edu,907-564-8388,https://www.facebook.com/Alaskapacific,https://www.alaskapacific.edu,Alaska Pacific University is a private university in Anchorage offering hands-on education grounded in Alaska Native knowledge and community.,2026-06-24T05:07:54.915Z,true
8e81cccaa1d6,Alaska Alpine Club Gear Swap,"Fairbanks, AK",other,alaska.alpine.club@gmail.com,,https://www.facebook.com/AAC.UAF/,https://www.alaskaalpineclub.com/,"Fairbanks-based mountaineering club founded in 1952 that organizes gear swaps, ski mountaineering classes, and maintains alpine huts.",2026-06-24T05:08:06.239Z,true
80fbdc777df2,Mountain Madness Gear Swap,"Seattle, WA",other,info@mountainmadness.com,(206) 937-8389,https://www.facebook.com/MountainMadness1984/,https://mountainmadness.com,Mountain Madness is a Seattle-based mountaineering and trekking guide service founded in 1984.,2026-06-24T05:08:14.939Z,true
24542c83d55f,West Seattle Ski & Boat Swap,"Seattle, WA",ski,orders@m2soutfitters.com,(206) 935-7669,https://www.facebook.com/m2soutfitters/,https://www.m2soutfitters.com,Mountain to Sound Outfitters is a locally owned West Seattle outdoor gear shop specializing in paddlesport and snowsport equipment.,2026-06-24T05:08:23.337Z,true
6500e8c9c900,Newport Ski Swap,"Bellevue, WA",ski,SkiSwapHelp@gmail.com,,https://www.facebook.com/NewportPTSA/,https://www.newportskiswap.com/,Annual snowsports consignment sale organized by Newport High School PTSA that funds educational programs.,2026-06-24T05:08:34.811Z,true
11b05fc13747,Mt. Spokane Ski Patrol Ski Swap,"Spokane, WA",ski,info@skipatrolskiswap.com,535-0102,https://www.facebook.com/mtspokaneskipatrol,https://skipatrolskiswap.com/,Mt. Spokane Ski Patrol is a non-profit all-volunteer ski patrol organization formed in 1938.,2026-06-24T05:08:46.699Z,true
a61782a3dc70,Snowvana Seattle,"Seattle, WA",ski,quinn@snowvana.com,,https://www.facebook.com/EDGEOutdoors.Org/,https://edgeoutdoors.org,"EDGE Outdoors is a Washington State non-profit organization creating opportunities for Black, Indigenous, Women of Color in snow sports.",2026-06-24T05:08:54.364Z,true
3f6120afc6a7,Tri-Cities Ski Swap & Gear Sale,"Kennewick, WA",ski,info@theskiswap.com,(509) 522-1443,https://www.facebook.com/TriCitiesSkiSwap/,https://theskiswap.com/,Organizes ski swaps across the Pacific Northwest for winter sports equipment and gear sales.,2026-06-24T05:09:04.914Z,true
1b6da7c28d4f,WSU Ski and Gear Swap,"Pullman, WA",ski,urec@wsu.edu,509-335-8732,https://www.facebook.com/orcgnome/,https://urec.wsu.edu,"WSU University Recreation provides outdoor recreation programs, equipment rentals, and ski-related services for the campus community.",2026-06-24T05:09:17.301Z,true
a8fa77c00cb2,AK Ski & Winter Gear Swap,"Anchorage, AK",ski,akskiswap49@gmail.com,(907) 783-2166,https://www.facebook.com/alyeskaskiclub/,https://akskiswap.com/,Alyeska Ski Club is a non-profit providing skiing programs for youth and adults in south-central Alaska.,2026-06-24T05:09:26.211Z,true
527b594befe6,NSAA Ski Swap,"Anchorage, AK",ski,info@anchoragenordicski.com,(907) 276-7609,https://www.facebook.com/anchoragenordicski/,https://anchoragenordicski.com,NSAA is a nonprofit organization maintaining Anchorage trails and promoting Nordic skiing for all ages and abilities.,2026-06-24T05:09:35.631Z,true
3fcd549b08b7,Pierce County Bike Swap,"Tacoma, WA",bike,,,https://www.facebook.com/RideTogetherPierce/,https://www.ridetogetherpierce.com,Ride Together Pierce promotes sustainable transportation options to Pierce County community members.,2026-06-24T05:09:54.623Z,true
