id,jobId,name,organizer,eventUrl,location,type,source,date,description,enriched,discoveredAt
a348f4fb7548,manual-mss-curated,"West Seattle Ski, Snowboard, and Boat Swap",Mountain to Sound Outfitters,https://myskiswap.com/active_skiswaps/1414,"Seattle, WA",ski,MySkiSwap,"April 3-5, 2026","Community ski, snowboard, and boat/paddlesport consignment swap run by a West Seattle specialty gear shop, established 2009.",true,2026-07-08T23:00:00.000Z
54b54fdbb49a,manual-mss-curated,Hazel Wolf Ski Swap,Hazel Wolf K-8 PTSA,https://myskiswap.com/skiswap_views?ssid=3cfe0110-4ce6-013c-2f35-16aeb87f1c33,"Seattle, WA",ski,MySkiSwap,Early November (annual),"School PTSA-run ski and winter clothing swap, 40% consignment fee, checks mailed via PTSA treasurer.",true,2026-07-08T23:00:00.000Z
e866b98728b8,manual-mss-curated,Walla Walla Ski Swap,Independently run (Maland family),https://myskiswap.com/skiswap_views?ssid=33a151f0-3f69-013e-2f71-16aeb87f1c33,"Walla Walla, WA",ski,MySkiSwap,"Annual, typically December","Community ski/outdoor gear swap at Walla Walla Fairgrounds, 25% consignment fee.",true,2026-07-08T23:00:00.000Z
e5def79b16be,manual-mss-curated,MBSEF Skyliners Ski Swap,Mt. Bachelor Sports Education Foundation (MBSEF),https://myskiswap.com/skiswap_views?ssid=a8d41cb0-56af-013e-2f75-16aeb87f1c33,"Bend, OR",ski,MySkiSwap,"October (annual, ~2 day sale)","Premier Northwest ski swap combining local consignors and regional retailers, 25% commission, benefits youth snow sports programs.",true,2026-07-08T23:00:00.000Z
72ef1353a5c2,manual-mss-curated,Bend Bike Swap,,https://myskiswap.com/active_skiswaps/1417,"Bend, OR",bike,MySkiSwap,"April 24-26, 2026",Bike consignment swap hosted on the MySkiSwap platform despite being a bike (not ski) event.,true,2026-07-08T23:00:00.000Z
e0e6dbaf4509,manual-mss-curated,Coeur d'Alene Ski Swap,Winter Swap,https://myskiswap.com/skiswap_views?ssid=a6077db0-6526-013e-87bc-1eca67fba657,"Coeur d'Alene, ID",ski,MySkiSwap,Mid-November (annual),"Community ski swap at Kootenai County Fairgrounds, 25% consignment fee, admission free.",true,2026-07-08T23:00:00.000Z
4ac06a9a4491,manual-mss-curated,Team Summit's Annual Ski & Snowboard Swap,Team Summit Colorado,https://myskiswap.com/skiswap_views?ssid=6e637f80-59f4-013e-2f76-16aeb87f1c33,"Copper Mountain / Breckenridge, CO",ski,MySkiSwap,2nd weekend of September (annual),"Nonprofit youth ski/snowboard team swap, 30% org commission, part of a larger competitive youth sports organization.",true,2026-07-08T23:00:00.000Z
a8fa77c00cb2,manual-mss-curated,AK Ski & Winter Gear Swap,Alyeska Ski Club & UAA Ski Team,https://akskiswap.com/,"Anchorage, AK",ski,website,Early October (annual),"Large consignment swap (thousands of items) at UAA Alaska Airlines Center, 30% org commission, benefits youth skiing in south-central Alaska.",true,2026-07-08T23:00:00.000Z
a1cbd11a327e,manual-mss-curated,Team Afton Ski Swap,Team Afton Alpine Race Club,https://www.teamafton.com/swap/,"Afton Alps, MN",ski,website,"Late September / early October, tied to 'Fall Into Winter Festival'","Youth ski racing club swap, mixed individual consignment and vendor sales, 77/23 split, $2/item check-in fee.",true,2026-07-08T23:00:00.000Z
0369fb82fc3a,manual-mss-curated,Four Valleys Community School (FVCS) Ski and Sports Swap,Four Valleys Community School,https://www.fourvalleys.org/ski-and-sports-swap/,"Girdwood, AK",ski,website,Early November (annual),"Community school nonprofit swap serving Girdwood, Portage, Bird, and Indian, AK. Held at Alyeska Daylodge.",true,2026-07-08T23:00:00.000Z
72fe6d30e246,manual-mss-curated,Buck Hill Tent Sale,Buck Hill Ski Racing Club/Team,https://myskiswap.com/active_skiswaps/buck-hill-tent-sale-2026,"Burnsville, MN",ski,MySkiSwap,Late September (annual),"Large-scale (100,000+ item) ski/snowboard tent sale fundraiser for a competitive youth ski racing club, $5/item + 20% commission.",true,2026-07-08T23:00:00.000Z
98e5798ebe24,manual-mss-curated,Freeport Ski Swap and Sale,Freeport Ski Boosters,https://myskiswap.com/skiswap_views?ssid=0d357180-536a-013d-2f4f-16aeb87f1c33,"Freeport, ME",ski,MySkiSwap,Early November (annual),"School booster club swap benefiting Alpine and Nordic ski teams, 75/25 split.",true,2026-07-08T23:00:00.000Z
7d619a7e4ac1,manual-mss-curated,Martock Ski Race Club Ski Swap,Martock Ski Race Club (MSRC),https://myskiswap.com/skiswap_views?ssid=dff12c80-7481-013d-2f61-16aeb87f1c33,"Windsor, Nova Scotia, Canada",ski,MySkiSwap,Mid-November (annual),"Youth ski race club equipment swap at Martock Ski Lodge, Canada.",true,2026-07-08T23:00:00.000Z
