sourceId,orgName,location,type,email,phone,facebook,linkedinPeople,website,notes,eventSpecificLine,enrichedAt,contactFound
a348f4fb7548,"West Seattle Ski, Snowboard, and Boat Swap","Seattle, WA",ski,orders@m2soutfitters.com,(206) 935-7669,facebook.com/m2soutfitters,[],m2soutfitters.com,Retail shop (Mountain to Sound Outfitters) that runs the swap as a community event alongside its retail business. Currently active/registering.,,2026-07-08T23:00:00.000Z,true
54b54fdbb49a,Hazel Wolf Ski Swap,"Seattle, WA",ski,treasurer@hazelwolfk8.org,,,[],,"Contact Christopher A Maland (chris@dustys.ski) also listed as a contact for this event. Same 'dustys.ski' domain shows up as organizer contact for the Walla Walla Ski Swap too, possibly a family/business running multiple WA swaps.",,2026-07-08T23:00:00.000Z,true
e866b98728b8,Walla Walla Ski Swap,"Walla Walla, WA",ski,michael@dustys.ski,"(509) 527-3247 (Fairgrounds venue, not organizer)",facebook.com/wallawallaskiswap,[],,"Organizer contact has changed names year to year (Jon Maland, Jonathan Maland, Michael Maland) all on the same dustys.ski domain. Same domain as Hazel Wolf contact, likely the same operating family/business running multiple swaps.",,2026-07-08T23:00:00.000Z,true
e5def79b16be,MBSEF Skyliners Ski Swap,"Bend, OR",ski,marieka@mbsef.org,541-388-0002,,[],mbsefskiswap.com,"Contact email has changed across years (molly@mbsef.org, marieka@mbsef.org) — verify current staff before outreach. Large, well-established annual fundraiser with named sponsors (Latitude 44 Sports).",,2026-07-08T23:00:00.000Z,true
72ef1353a5c2,Bend Bike Swap,"Bend, OR",bike,,,,[],,Organizer identity not found via search; only the live event listing surfaced. Needs direct lookup via the event's registration page.,,2026-07-08T23:00:00.000Z,false
e0e6dbaf4509,Coeur d'Alene Ski Swap,"Coeur d'Alene, ID",ski,,(208) 777-5595,"instagram.com/winterswapcda (Instagram, not Facebook)",[],winterswap.org,No email surfaced; phone and website are the best entry points.,,2026-07-08T23:00:00.000Z,true
4ac06a9a4491,Team Summit's Annual Ski & Snowboard Swap,"Copper Mountain / Breckenridge, CO",ski,events@teamsummit.org,(970) 968-3080,facebook.com/TeamSummitColorado,[],teamsummit.org,Event-specific contact is Phil Kubiske (Events & Operations). General org contact is info@teamsummit.org.,,2026-07-08T23:00:00.000Z,true
a8fa77c00cb2,AK Ski & Winter Gear Swap,"Anchorage, AK",ski,,,facebook.com/akskiswap,[],akskiswap.com,"No direct email found. James Geist (ASC Operations Manager) is named as an accessibility contact, may be a viable name to search further.",,2026-07-08T23:00:00.000Z,true
a1cbd11a327e,Team Afton Ski Swap,"Afton Alps, MN",ski,info@teamafton.com,612-819-0186,,[],teamafton.com,Program Director is Tony Olin. clubadmin@teamafton.com also used for logistics questions.,,2026-07-08T23:00:00.000Z,true
0369fb82fc3a,Four Valleys Community School (FVCS) Ski and Sports Swap,"Girdwood, AK",ski,FVCS@fourvalleys.org,(907) 742-5317,facebook.com/FourValleysCommunitySchool,[],fourvalleys.org,"501(c)(3), 30 years running community classes/events; swap is one program among several.",,2026-07-08T23:00:00.000Z,true
72fe6d30e246,Buck Hill Tent Sale,"Burnsville, MN",ski,info@buckhilltentsale.com,(612) 460-1266,facebook.com/buckhillskiswap,[],buckhilltentsale.com,"IMPORTANT: prior years' event pages reference 'My Consignment Manager (MyCM)' as their platform, not MySkiSwap. Their 2026 listing is on MySkiSwap, meaning they switched platforms recently. Worth confirming this in outreach, an org that just switched may be less receptive to switching again soon, or may be actively unhappy with their prior/current tool.",,2026-07-08T23:00:00.000Z,true
98e5798ebe24,Freeport Ski Swap and Sale,"Freeport, ME",ski,deangilbert44@gmail.com,,,[],,"Contact Name: Dean M Gilbert. Personal gmail address, likely a volunteer organizer rather than an official org address.",,2026-07-08T23:00:00.000Z,true
7d619a7e4ac1,Martock Ski Race Club Ski Swap,"Windsor, Nova Scotia, Canada",ski,treasurer@msrc.ca,,,[],,"Contact Name: Joe Rossi (Treasurer). Canadian org, worth checking if Consignly's product/pricing currently supports non-US orgs before pursuing.",,2026-07-08T23:00:00.000Z,true
